Age,Attrition_Rate_%
18,50.0
19,66.66666666666666
20,54.54545454545454
21,46.15384615384615
22,31.25
23,28.57142857142857
24,26.923076923076923
25,23.076923076923077
26,30.76923076923077
27,6.25
28,29.166666666666668
29,26.47058823529412
30,15.0
31,26.08695652173913
32,18.0327868852459
33,20.689655172413794
34,11.688311688311687
35,12.82051282051282
36,8.695652173913043
37,12.0
38,3.4482758620689653
39,14.285714285714285
40,8.771929824561402
41,15.0
42,4.3478260869565215
43,6.25
44,18.181818181818183
45,4.878048780487805
46,12.121212121212121
47,12.5
48,10.526315789473683
49,8.333333333333332
50,16.666666666666664
51,10.526315789473683
52,16.666666666666664
53,10.526315789473683
54,0.0
55,13.636363636363635
56,21.428571428571427
57,0.0
58,35.714285714285715
59,0.0
60,0.0
